#"Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
40.8000000000039,-32288.246557892388,-27182.960656733223,307.0891515373036
41.00000000000414,-32121.292482574267,-27160.09172841211,298.4222548351243
41.20000000000439,-32337.969822011713,-27166.954350938147,311.0428650504572
41.40000000000463,-32059.5184449387,-27136.083709476166,296.15058291234806
41.600000000004876,-32127.47746317796,-27182.773222664226,297.42996949054293
41.80000000000512,-32045.599161389342,-27147.905117487884,294.6022490316383
42.000000000005365,-32053.455404710578,-27127.879515907,296.2793758880094
42.20000000000561,-32145.801588942937,-27117.438786140352,302.46213368457586
42.40000000000585,-32232.495624647156,-27204.803894942772,302.42176782214705
42.6000000000061,-32426.72133459404,-27271.30206639247,310.1047344932484
42.80000000000634,-32328.10126518464,-27158.76687650761,310.9417459012438
43.00000000000659,-32365.22886084669,-27385.2038501871,299.55455674103825
43.20000000000683,-32404.11441577942,-27526.093627240683,293.4188788121676
43.400000000007076,-32345.02859747308,-27514.11403175132,290.58538226034716
43.60000000000732,-32347.08328497308,-27455.120590908366,294.25750137350434
43.800000000007564,-32645.719336733688,-27553.5285629672,306.3014637097958
44.00000000000781,-32507.701027204515,-27444.22952373256,304.57396469832696
44.20000000000805,-32383.44526537214,-27271.110908967297,307.51312468649627
44.4000000000083,-32324.23489515891,-27290.724935907056,302.7717414004683
44.60000000000854,-32342.38782382288,-27341.72825776969,300.79575032565816
44.80000000000879,-32316.4888404058,-27343.11607080509,299.15441635671044
45.00000000000903,-32386.300679774373,-27501.667047448806,293.8166494027013
45.200000000009275,-32483.179649716563,-27414.908477779798,304.8626705896433
45.40000000000952,-32446.45771976569,-27415.890143548226,302.59475348499757
45.600000000009764,-32415.507476250816,-27309.03588936123,307.1604719749823
45.80000000001001,-32356.831390504085,-27415.43360276177,297.2310823379269
46.00000000001025,-32410.83867351152,-27440.46192436153,298.9742020854603
46.2000000000105,-32414.662841609097,-27523.399393774453,294.21544086295404
46.40000000001074,-32588.846366524784,-27612.708218280313,299.32075724296686
